Industry Name,Number of firms,ROE (unadjusted),ROE (adjusted for R&D),,,,,,
Advertising,40,-0.008798645,-0.008798645,,,,,,
Aerospace/Defense,87,0.290285851,0.191105754,,,,,,
Air Transport,17,0.247816821,0.245431504,,,,,,
Apparel,51,0.076234161,0.075884739,,,,,,
Auto & Truck,18,0.086358259,0.060282667,,,,,,
Auto Parts,62,0.241390268,0.182155963,,,,,,
Bank (Money Center),11,0.099329692,0.099329692,,,,,,
Banks (Regional),612,0.090282785,0.090282785,,,,,,
Beverage (Alcoholic),28,0.251564111,0.251532334,,,,,,
Beverage (Soft),35,0.283888728,0.270143358,,,,,,
Broadcasting,27,0.181053545,0.180912687,,,,,,
Brokerage & Investment Banking,42,0.114126646,0.113990269,,,,,,
Building Materials,39,0.238122424,0.220626266,,,,,,
Business & Consumer Services,169,0.183159299,0.179029148,,,,,,
Cable TV,14,0.110547872,0.110212599,,,,,,
Chemical (Basic),38,0.186020957,0.176138347,,,,,,
Chemical (Diversified),7,0.142011167,0.122841571,,,,,,
Chemical (Specialty),99,0.169956238,0.142565157,,,,,,
Coal & Related Energy,30,NA,NA,,,,,,
Computer Services,111,0.286622406,0.217741888,,,,,,
Computers/Peripherals,58,0.285494813,0.220546939,,,,,,
Construction Supplies,49,0.132329042,0.10834678,,,,,,
Diversified,24,0.095888757,0.089486149,,,,,,
Drugs (Biotechnology),459,0.13445969,0.073594543,,,,,,
Drugs (Pharmaceutical),185,0.143870777,0.105104882,,,,,,
Education,34,0.025961148,0.02604339,,,,,,
Electrical Equipment,118,0.135420218,0.118963994,,,,,,
Electronics (Consumer & Office),24,-0.296034704,-0.152777269,,,,,,
Electronics (General),167,0.112985546,0.093249227,,,,,,
Engineering/Construction,49,0.077080741,0.076623066,,,,,,
Entertainment,90,0.189852786,0.189691895,,,,,,
Environmental & Waste Services,87,0.094698445,0.094550618,,,,,,
Farming/Agriculture,34,0.120950802,0.106035579,,,,,,
Financial Svcs. (Non-bank & Insurance),264,-0.002869119,-0.002869119,,,,,,
Food Processing,87,0.115402323,0.111956201,,,,,,
Food Wholesalers,15,0.166444721,0.166444721,,,,,,
Furn/Home Furnishings,31,0.176198196,0.154762882,,,,,,
Green & Renewable Energy,22,0.006559114,0.006378682,,,,,,
Healthcare Products,251,0.095091155,0.082633198,,,,,,
Healthcare Support Services,115,0.17400256,0.171625918,,,,,,
Heathcare Information and Technology,112,0.107957819,0.091426388,,,,,,
Homebuilding,32,0.124855745,0.124855745,,,,,,
Hospitals/Healthcare Facilities,35,0.082109099,0.082122345,,,,,,
Hotel/Gaming,70,0.12942558,0.127744235,,,,,,
Household Products,131,0.292537304,0.260551939,,,,,,
Information Services,61,0.209091246,0.198416327,,,,,,
Insurance (General),21,0.019666374,0.019651875,,,,,,
Insurance (Life),25,0.041716923,0.041716922,,,,,,
Insurance (Prop/Cas.),50,0.072896982,0.072896982,,,,,,
Investments & Asset Management,165,0.137544201,0.136559816,,,,,,
Machinery,126,0.19082547,0.16824319,,,,,,
Metals & Mining,102,0.107778637,0.10670687,,,,,,
Office Equipment & Services,24,0.087016981,0.073234887,,,,,,
Oil/Gas (Integrated),5,0.059026827,0.05814818,,,,,,
Oil/Gas (Production and Exploration),311,-0.048665361,-0.04876249,,,,,,
Oil/Gas Distribution,16,0.019724466,0.019724466,,,,,,
Oilfield Svcs/Equip.,130,0.019709504,0.018238248,,,,,,
Packaging & Container,25,0.205377454,0.193891946,,,,,,
Paper/Forest Products,21,0.061475007,0.061081027,,,,,,
Power,61,0.155457211,0.154742739,,,,,,
Precious Metals,111,0.018869167,0.018527713,,,,,,
Publishing & Newspapers,41,-0.025097024,-0.02501061,,,,,,
R.E.I.T.,244,0.095369802,0.09533858,,,,,,
Real Estate (Development),20,0.046152039,0.046152039,,,,,,
Real Estate (General/Diversified),10,0.041671641,0.041671641,,,,,,
Real Estate (Operations & Services),60,0.150591676,0.149849229,,,,,,
Recreation,70,0.052604952,0.047002797,,,,,,
Reinsurance,3,0.060472745,0.060472745,,,,,,
Restaurant/Dining,81,0.956695077,0.95000203,,,,,,
Retail (Automotive),25,0.342582491,0.342582491,,,,,,
Retail (Building Supply),8,0.912599117,0.912495722,,,,,,
Retail (Distributors),92,0.16051295,0.160431384,,,,,,
Retail (General),18,0.160954876,0.160954876,,,,,,
Retail (Grocery and Food),14,0.244317428,0.244317428,,,,,,
Retail (Online),61,0.187178749,0.174415593,,,,,,
Retail (Special Lines),106,0.165878315,0.16434734,,,,,,
Rubber& Tires,4,0.2143773,0.173608987,,,,,,
Semiconductor,72,0.198721141,0.133867788,,,,,,
Semiconductor Equip,45,0.336284802,0.228062916,,,,,,
Shipbuilding & Marine,9,-0.018763961,-0.018763961,,,,,,
Shoe,11,0.253213371,0.250842542,,,,,,
Software (Entertainment),13,0.163341662,0.114624066,,,,,,
Software (Internet),305,0.185174856,0.146564494,,,,,,
Software (System & Application),255,0.170833029,0.12006653,,,,,,
Steel,37,0.12232046,0.121262858,,,,,,
Telecom (Wireless),18,0.018681323,0.018739311,,,,,,
Telecom. Equipment,104,0.153105187,0.109977146,,,,,,
Telecom. Services,66,0.163369053,0.158246122,,,,,,
Tobacco,24,NA,NA,,,,,,
Transportation,18,0.289707779,0.288946417,,,,,,
Transportation (Railroads),8,0.174050312,0.174050312,,,,,,
Trucking,30,0.078726185,0.078571563,,,,,,
Utility (General),18,0.099472037,0.099410853,,,,,,
Utility (Water),23,0.099973367,0.098947365,,,,,,
Total Market,7247,0.136278596,0.123844621,,,,,,
Total Market (without financials),6057,0.145355616,0.127785063,,,,,,
